modified a workflow state,modificou uma etapa
Timeline Name,Nome Timeline
Timeline Links,Links da linha do tempo
Timeline Field,Campo Timeline
Timeline DocType,DocType Timeline
Time in seconds to retain QR code image on server. Min:240,Tempo em segundos para manter a imagem do código QR no servidor. Min: <strong>240</strong>
Time Zones,Fusos horários
Time Zone,Fuso horário
Time Series Based On,Séries Temporais Baseadas em
Time Series,Séries Temporais
Time Interval,Intervalo de tempo
Thumbnail URL,URL Thumbnail
Throttled,Throttled
This will permanently remove your data.,Isso removerá permanentemente seus dados.
This will log out {0} from all other devices,Isso encerrará {0} de todos os outros dispositivos
This role update User Permissions for a user,Este papel arualiza Permissões do Usuário para um usuário
This request has not yet been approved by the user.,Esta solicitação ainda não foi aprovada pelo usuário.
This report was generated {0}.,Este relatório foi gerado {0}.
This report was generated on {0},Este relatório foi gerado em {0}
This query style is discontinued,Esse estilo de consulta foi interrompido
This month,Este mês
last edited,editou isso pela última vez
This may get printed on multiple pages,Isso pode ser impresso em várias páginas
This link is invalid or expired. Please make sure you have pasted correctly.,"Este link é inválido ou expirou. Por favor, certifique-se de ter colado corretamente."
This link has already been activated for verification.,Este link já foi ativado para verificação.
This is the template file generated with only the rows having some error. You should use this file for correction and import.,Este é o arquivo de modelo gerado com apenas as linhas com algum erro. Você deve usar esse arquivo para corrigir e importar.
This is similar to a commonly used password.,Isso é parecido com uma senha comum.
This is an automatically generated reply,Isto é uma resposta gerada automaticamente
This is a very common password.,Essa é uma senha muito comum.
This is a top-100 common password.,Essa é uma das 100 senhas mais comuns.
This is a top-10 common password.,Essa é uma das 10 senhas mais comuns.
This is a background report. Please set the appropriate filters and then generate a new one.,"Este é um relatório de fundo. Por favor, defina os filtros apropriados e, em seguida, gere um novo."
This goes above the slideshow.,Isto vai acima do slideshow.
This format is used if country specific format is not found,Este formato é usado se o formato específico país não é encontrado
This form has been modified after you have loaded it,Este formulário foi modificado depois de ter carregado ele
This form does not have any input,Este formulário não tem nenhum campo a ser preenchido
This field will appear only if the fieldname defined here has value OR the rules are true (examples):\nmyfield\neval:doc.myfield=='My Value'\neval:doc.age&gt;18,Este campo aparecerá apenas se o nome do campo definido aqui tem valor ou as regras são verdadeiros (exemplos): myfield eval: doc.myfield == &#39;Meu Valor&#39; eval: doc.age&gt; 18
This feature is brand new and still experimental,Esta funcionalidade é nova e ainda está em fase experimental
This email was sent to {0} and copied to {1},Este email foi enviado para {0} e copiados para {1}
This email was sent to {0},Este email foi enviado para {0}
This email is autogenerated,Este e-mail é gerado automaticamente
This document is currently queued for execution. Please try again,"Este documento está em fila para execução. Por favor, tente novamente"
This document has been reverted,Este documento foi revertido
This document has been modified after the email was sent.,Este documento foi modificado depois que o email foi enviado.
This document cannot be reverted,Este documento não pode ser revertido
This Kanban Board will be private,Este Conselho Kanban será privado
This Currency is disabled. Enable to use in transactions,Esta moeda é desativado. Ativar para usar em transações
Third Party Authentication,Autenticação de Terceiros
Third Party Apps,Aplicativos de terceiros
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Esses valores serão atualizados automaticamente em transações e também serão úteis para restringir as permissões para este usuário em operações que contenham esses valores.
"There were some errors setting the name, please contact the administrator","Houve alguns erros de definir o nome, por favor, entre em contato com o administrador"
There were errors while sending email. Please try again.,"Ocorreram erros durante o envio de email. Por favor, tente novamente."
There were errors while creating the document. Please try again.,"Houve erros ao criar o documento. Por favor, tente novamente."
There were errors,Ocorreram erros
There was an error saving filters,Houve um erro ao salvar os filtros
There should remain at least one System Manager,Não deve permanecer pelo menos um gestor de sistema
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Parece haver um problema com a configuração braintree do servidor. Não se preocupe, em caso de falha, o valor será reembolsado para sua conta."
There must be atleast one permission rule.,É necessário que exista pelo menos uma regra de permissão.
There is some problem with the file url: {0},Há algum problema com a url do arquivo: {0}
There is no data to be exported,Não há dados a serem exportados
There is an error in your Address Template {0},Há um erro no seu modelo de endereço {0}
There can be only one Fold in a form,Só pode haver uma Fold de uma forma
Theme URL,URL do tema
Theme,Tema
The user from this field will be rewarded points,O usuário deste campo será recompensado pontos
The system provides many pre-defined roles. You can add new roles to set finer permissions.,O sistema disponibiliza várias funções pré-definidas. Você pode adicionar novas funções para definir permissões mais específicas.
The resource you are looking for is not available,O recurso que você está procurando não está disponível
The process for deletion of {0} data associated with {1} has been initiated.,O processo de exclusão de {0} dados associados a {1} foi iniciado.
The name that will appear in Google Calendar,O nome que aparecerá no Google Agenda
The first user will become the System Manager (you can change this later).,O primeiro usuário será o System Manager (você pode mudar isso mais tarde).
The document has been assigned to {0},O documento foi atribuído para {0}
The document could not be correctly assigned,O documento não pôde ser atribuído corretamente
The attachments could not be correctly linked to the new document,Os anexos não puderam ser vinculados corretamente ao novo documento
"The application has been updated to a new version, please refresh this page","O aplicativo foi atualizado para uma nova versão, por favor, atualize esta página"
The First User: You,O primeiro usuário: Você
The Condition '{0}' is invalid,A condição &#39;{0}&#39; é inválido
The CSV format is case sensitive,O formato CSV diferencia maiúsculas de minúsculas
Thank you for your message,Obrigado por sua mensagem
Thank you for your interest in subscribing to our updates,Agradecemos seu interesse em assinar a newsletter do site
Thank you for your email,Obrigado pelo seu email
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,"O texto a ser exibido para o link da página da web, se este formulário tem uma página web. Um link será gerado automaticamente com base em ` page_name` e `parent_website_route`"
Text Editor,Editor de Texto
Text Content,conteúdo de texto
Text Color,Cor do texto
Text Align,Alinhar Texto
Text,Texto
Test_Folder,Test_Folder
Test Runner,Test Runner
Test Email Address,Teste de Endereço de Email
Temporarily Disabled,Temporariamente desativado
Team Members Heading,Título da página Membros da Equipe
Team Members,Membros da Equipe
Take Photo,Tirar fotos
Take Backup Now,Fazer backup agora
Table {0} cannot be empty,Tabela {0} não pode ser vazio
Table updated,Tabela atualizada
Table MultiSelect,Tabela MultiSelect
Table HTML,Tabela HTML
Table Field,Campo da Tabela
Table,Tabela
System and Website Users,Usuários do sistema e do site
System User,Usuário do Sistema
System Settings,Configurações do Sistema
System Page,Página do sistema
System,Sistema
Syntax error in template,Erro de sintaxe no template
Sync on Migrate,Sync em Migrate
Sync,Sincronizar
Symbol,Símbolo
Switch To Desk,Ir para o Desktop
Suspend Sending,Suspender Envio
Support Email Address Not Specified,Endereço de e-mail de suporte Não especificado
Sum of {0},Soma de {0}
Sum,Soma
Suggested Username: {0},Nome de usuário sugerido: {0}
Successfully updated translations,Traduções atualizadas com êxito
Successfully Updated,Atualizado com sucesso
Successfully Done,Feito com sucesso
Successful: {0} to {1},Bem-sucedida: {0} para {1}
Success URL,URL de Confirmação
Success Message,Mensagem de sucesso
Success Action,Ação de Sucesso
Subsidiary,Subsidiário
Subscription Notification,Notificação de Subscrição
Submitting,Enviando
Submitted Document cannot be converted back to draft. Transition row {0},Documento enviado não pode ser convertido de volta para rascunho. Linha de transição {0}
Submitting {0},Enviando {0}
Submit {0} documents?,Envie {0} documentos?
Submit this document to confirm,Enviar este documento para confirmar
Submit an Issue,Enviar um problema
Submit after importing,Enviar depois de importar
Subject Field,Subject Field
Subdomain,Subdomínio
Sub-domain provided by erpnext.com,Sub-domínio fornecido pelo erpnext.com
"Sub-currency. For e.g. ""Cent""",Sub-moeda. Por exemplo &quot;Centavo&quot;
Stylesheets for Print Formats,Folhas de estilos para formatos de impressão
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Estilo representa a cor do botão: Sucesso - Verde, Perigo - Vermelho, Inverso - Preto, Primário - Azul Escuro, Informações - Azul Claro, Aviso - Laranja"
Style Settings,Configurações de Estilo
Style,Estilo
Stripe payment gateway settings,Configurações do gateway de pagamento Stripe
Stripe Settings,Configurações do Stripe
Straight rows of keys are easy to guess,linhas retas de teclas são fáceis de adivinhar
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Armazena o JSON das últimas versões conhecidas de vários aplicativos instalados. Ele é usado para mostrar notas de lançamento.
Steps to verify your login,Etapas para verificar seu login
Status: {0},Status: {0}
Stats based on last week's performance (from {0} to {1}),Estatísticas com base no desempenho da semana passada (de {0} a {1})
Stats based on last month's performance (from {0} to {1}),Estatísticas com base no desempenho do último mês (de {0} a {1})
Static Parameters,Parâmetros estáticos
"States for workflow (e.g. Draft, Approved, Cancelled).","Status para o fluxo de trabalho (por exemplo, rascunho, aprovado, cancelado)."
States,Estados
Starts on,Inicia em
Starting Frappe ...,Iniciando Frappé ...
Started,Começado
StartTLS,StartTLS
Start new Format,Iniciar um Novo Formato
Start entering data below this line,Comece a introduzir dados abaixo desta linha
Start a conversation.,Comece uma conversa.
Start Date Field,Campo de Data de Início
Standings,Classificações
Standard roles cannot be renamed,Funções padrão não podem ser renomeadas
Standard roles cannot be disabled,Funções padrão não pode ser desativado
Standard Sidebar Menu,Menu Lateral Padrão
Standard Reports,Relatórios padrão
Standard Print Style cannot be changed. Please duplicate to edit.,"O estilo de impressão padrão não pode ser alterado. Por favor, copie para editar."
Standard Print Format cannot be updated,Formato de impressão padrão não pode ser atualizado
"Standard DocType cannot have default print format, use Customize Form","DocType padrão não pode ter o formato de impressão padrão, use Personalizar formulário"
Special Characters are not allowed,Caracteres especiais não são permitidos
SparkPost,SparkPost
Spam,Spam
Source Text,Texto Original
Sort field {0} must be a valid fieldname,Ordenar campo {0} deve ser um nome do campo válido
Sort Order,Ordem de classificação
Sort Field,Ordenar por campo
"Sorry, you're not authorized.","Desculpe, você não está autorizado."
Sorry! You are not permitted to view this page.,Desculpe! Você não tem permissão para visualizar esta página.
Sorry! User should have complete access to their own record.,Desculpe! O usuário deve ter acesso completo ao seu próprio registro.
Sorry! Sharing with Website User is prohibited.,Desculpe! Não é permitido compartilhar com o site do usuário.
Sorry! I could not find what you were looking for.,Desculpe! Não foi possível encontrar o que você procurou.
Something went wrong while generating dropbox access token. Please check error log for more details.,Algo deu errado ao gerar o token de acesso dropbox. Verifique o registro de erros para obter mais detalhes.
Something went wrong,Algo deu errado
Some of the features might not work in your browser. Please update your browser to the latest version.,Alguns dos recursos podem não funcionar no seu navegador. Atualize o navegador para a versão mais recente.
Soft-Bounced,Soft-Bounced
Socketio is not connected. Cannot upload,Socketio não está conectado. Não é possível carregar
Social Logins,Logins sociais
Social Login Provider,Provedor de acesso social
Social Login Key,Chave de Login Social
Social,Social
Snapshot View,Ver Snapshot
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Menor unidade fração circulante (moeda). Para, por exemplo, 1 centavo, deve ser inserido como 0,01"
Smallest Currency Fraction Value,Menor valor fracionado de moeda
Small Text,Texto Pequeno
Slideshow like display for the website,Slideshow como display para o site
Slideshow Name,Nome da Apresentação de Slides
Slideshow Items,Itens da Apresentação de Slides
Slack Webhooks for internal integration,Webhooks frouxos para integração interna
Slack Webhook URL,URL do Webhook do Slack
Slack Webhook Error,Erro Slack Webhook
Slack Channel,Canal de folga
Slack,Folga
Skype,Skype
Skip rows with errors,Ignorar linhas com erros
Skip Authorization,Ignorar autorização
Single Types have only one record no tables associated. Values are stored in tabSingles,Tipos individuais têm apenas um registro sem tabelas associadas. Os valores são armazenados em tabSingles
Single Post (article).,Resposta Única (artigo).
Single DocTypes cannot be customized.,DocTypes únicos não podem ser personalizados.
Simultaneous Sessions,Sessões simultâneas
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Expressão Python Simples, Exemplo: status == &#39;Open&#39; e digite == &#39;Bug&#39;"
"Simple Python Expression, Example: Status in (""Closed"", ""Cancelled"")","Expressão Python Simples, Exemplo: Status em (&quot;Fechado&quot;, &quot;Cancelado&quot;)"
Signature,Assinatura
Sign Up is disabled,Sign Up é desativado
Sign Up,Inscrever-se
Sidebar and Comments,Menu Lateral e Comentários
Sidebar Settings,Configurações da barra lateral
Sidebar Items,Itens da barra lateral
Showing only Numeric fields from Report,Mostrando apenas campos numéricos do relatório
"Show title in browser window as ""Prefix - title""",Mostrar título na janela do navegador como &quot;Prefixo - título&quot;
Show only errors,Mostrar apenas erros
Show more details,Mostrar mais detalhes
Show in filter,Mostrar no filtro
Show in Module Section,Mostrar na Seção Módulo
Show failed jobs,Mostrar tarefas com falha
Show as cc,Mostrar como cc
Show as Grid,Mostrar como grade
Show all Versions,Mostrar todas as versões
Show Weekends,Mostrar fins de semana
Show Totals,Mostrar Totais
Show Title,Mostrar Título
Show Sidebar,Mostrar menu lateral
Show Section Headings,Mostrar Seção Títulos
Show Report,Mostrar relatório
Show Relapses,Mostrar Relapses
Show Preview Popup,Mostrar pop-up de pré-visualização
Show Permissions,Mostrar Permissões
Show Line Breaks after Sections,Mostrar quebras de linha após seções
Show Full Error and Allow Reporting of Issues to the Developer,Mostrar erro completo e permitir relatórios de problemas para o desenvolvedor
Show Dashboard,Mostrar Dashboard
Show Calendar,Mostrar calendário
Show Attachments,Mostrar anexos
Short keyboard patterns are easy to guess,padrões do teclado curtas são fáceis de adivinhar
Shop,Loja
Shared with {0},Compartilhado com {0}
Shared with everyone,Compartilhado com todos
Shared With,Compartilhado com
Shared,Compartilhado
Share {0} with,Compartilhar {0} com
Share this document with,Compartilhe este documento com
Share With,Compartilhar
Share URL,URL de compartilhamento
Share,Compartilhar
"Setup of top navigation bar, footer and logo.","Configuração de barra de navegação do topo, rodapé, e logotipo."
Setup Reports to be emailed at regular intervals,Relatórios de configuração para ser enviado em intervalos regulares
Setup Notifications based on various criteria.,Notificações de configuração com base em vários critérios.
Setup Complete,Instalação Concluída
Setup Auto Email,Configurar Email Automático
Settings for the About Us Page,Configurações para a página Sobre Nós
Settings for OAuth Provider,Definições para Provedor de OAuth
Settings for Contact Us Page.,Configurações da Página Fale Conosco.
Settings for Contact Us Page,Configurações para a página Fale Conosco
Settings for About Us Page.,Configurações para a Página Sobre Nós.
Setting up your system,Configurando seu sistema
Setting this Address Template as default as there is no other default,"A definição desse modelo de endereço como padrão, pois não há outro padrão"
Set up rules for user assignments.,Configurar regras para atribuições de usuários.
Set numbering series for transactions.,Definir numeração série para transações.
Set non-standard precision for a Float or Currency field,Definir precisão não-padrão para um campo Float ou Moeda
"Set default format, page size, print style etc.","Definir o formato padrão, o tamanho da página, estilo de impressão, etc"
Set custom roles for page and report,Definir funções personalizadas para página e relatório
Set Value,Definir valor
created this,criou isso
Set User Permissions,Definir Permissões de Usuário
Set Role For,Definir papel para
Set Quantity,Definir Quantidade
Set Property After Alert,Definir propriedade após o alerta
Set Permissions on Document Types and Roles,Definir permissões em Tipos e Funções de documentos
Set Permissions,Definir Permissões
Set Password,Definir senha
Set Only Once,Definir apenas uma vez
Set Number of Backups,Definir número de cópias de segurança
Set New Password,Definir nova senha
Set Filters,Definir filtros
Set Chart,Definir gráfico
Set Banner from Image,Definir imagem como banner
Session Start Failed,Falha ao iniciar a sessão
Session Expiry must be in format {0},Sessão de validade devem estar no formato {0}
Session Expiry in Hours e.g. 06:00,"Duração da sessão em horas, por exemplo 06:00"
Session Expiry Mobile,Duração da Sessão Móvel
Session Expiry,Duração da Sessão
Session Expired,Sessão expirada
Server IP,IP do servidor
Sent/Received Email,E-mail enviado / recebido
Sent or Received,Enviados ou recebidos
Sent Read Receipt,Enviar Confirmação de Leitura
Sendgrid,Sendgrid
Sender Email,E-mail do remetente
Sender,Remetente
Send unsubscribe message in email,Enviar mensagem de cancelamento de inscrição no e-mail
Send only if there is any data,Envie somente se houver quaisquer dados
Send me a copy,Envie-me uma Cópia
Send enquiries to this email address,Envie perguntas para este endereço de email
Send days before or after the reference date,Enviar dias antes ou depois da data de referência
Send an email reminder in the morning,Enviar um email lembrete na parte da manhã
Send alert if this field's value changes,Enviar alerta se muda o valor desse campo
Send alert if date matches this field's value,Enviar alerta se a data corresponde valor deste campo
Send Welcome Email,Enviar email de boas-vindas
Send Unsubscribe Link,Enviar link para cancelar inscrição
Send Read Receipt,Enviar Confirmação de Leitura
Send Print as PDF,Enviar impressão como PDF
Send Notifications To,Enviar Notificações para
Send Notification to,Enviar Notificação para
Send Me A Copy of Outgoing Emails,Envie-me uma cópia dos e-mails de saída
Send Email for Successful Backup,Enviar email para backup bem-sucedido
Send Email Print Attachments as PDF (Recommended),Enviar anexos de email em PDF (Recomendado)
Send Email Alert,Enviar alerta de email
Send Alert On,Enviar Alerta
Send After,Envie Depois
Self approval is not allowed,Auto-aprovação não é permitida
Select {0},Selecione {0}
"Select your Country, Time Zone and Currency","Escolha o seu País, Fuso Horário e Moeda"
Select the label after which you want to insert new field.,Selecione a etiqueta após a qual você deseja inserir um novo campo.
Select records for assignment,Seleciona registros para a atribuição
Select or drag across time slots to create a new event.,Selecione ou arraste intervalos de tempo para criar um novo evento.
Select atleast 1 record for printing,Selecione pelo menos 1 registro para impressão
Select an image of approx width 150px with a transparent background for best results.,Selecione uma imagem de aproximadamente 150px de largura com um fundo transparente para melhores resultados.
Select an existing format to edit or start a new format.,Escolha um formato existente para editar ou iniciar um novo formato.
Select a group node first.,Selecione um nó de grupo primeiro.
Select a chat to start messaging.,Selecione um bate-papo para iniciar mensagens.
Select a DocType to make a new format,Selecione um tipo de documento para fazer um novo formato
Select a Brand Image first.,Selecione o Logo da Marca primeiro.
Select Your Region,Selecione sua região
Select Table Columns for {0},Selecionar colunas de tabela para {0}
Select Role,Selecione a Função
Select Print Format to Edit,Selecione um formato de impressão para editar
Select Print Format,Selecione o Formato de Impressão
Select Module,Selecione o Módulo
Select Languages,Selecionar Idiomas
Select Language...,Selecione o idioma...
Select File Type,Selecionar tipo do arquivo
Select File Format,Selecione o formato do arquivo
Select Document Types to set which User Permissions are used to limit access.,Selecione os tipos de documentos para definir quais as permissões de usuário são usados para limitar o acesso.
Select Document Type or Role to start.,Selecione o Tipo de Documento ou Função para começar.
Select Document Type,Selecione o Tipo de Documento
Select Columns,Selecionar Colunas
Select Column,Selecione a coluna
Select Child Table,Selecionar tabela infantil
Select Attachments,Selecione os Anexos
Seen By Table,Visto por tabela
Seen By,Visto por
Seen,Visto
Seems token you are using is invalid!,Parece token que você está usando é inválido!
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Parece um problema com a configuração do servidor razorpay. Não se preocupe, em caso de falha os valores serão estornados à sua conta."
Seems Publishable Key or Secret Key is wrong !!!,Parece publicado chave ou secret key está errado !!!
Seems API Key or API Secret is wrong !!!,Parece que a chave API ou o segredo da API estão errados !!!
See the document at {0},Veja o documento em {0}
See on Website,Veja no Site
See all past reports.,Veja todos os relatórios anteriores.
Security Settings,Configurações de Segurança
Security,Segurança
Section Heading,Cabeçalho da Seção
Section Break,Quebra de seção
Searching ...,Procurando ...
Searching,Procurando
Search...,Pesquisa...
Search or type a command,Pesquisar ou digite um comando
Search or Create a New Chat,Pesquisar ou criar um novo bate-papo
Search in a document type,Pesquisar em um tipo de documento
Search for anything,Procurar por qualquer coisa
Search for '{0}',Pesquisar por &#39;{0}&#39;
Search field {0} is not valid,Campo de pesquisa {0} não é válido
Search Help,Procure Ajuda
Search Fields,Campos de Pesquisa
Script to attach to all web pages.,Script para anexar a todas as páginas web.
Script or Query reports,Script ou consulta relatórios
Script Report,Relatório Script
Script,Script
Scopes,Scopes
Scan the QR Code and enter the resulting code displayed.,Digitalize o Código QR e insira o código resultante exibido.
Saving...,Salvando ...
Saving,Salvando
Save filters,Salvar filtros
Save Report,Salvar o relatorio
Save Filter,Salvar Filtro
Save As,Salvar como
Save API Secret:,Salvar Segredo da API:
Same Field is entered more than once,O mesmo campo foi inserido mais de uma vez
Salesforce,Salesforce
SSL/TLS Mode,Modo SSL / TLS
"SQL Conditions. Example: status=""Open""","Condições SQL. Exemplo: status=""Open"""
SMTP Settings for outgoing emails,Configurações de SMTP para envio de emails
SMTP Server,Servidor SMTP
SMS sent to following numbers: {0},SMS enviado a seguintes números: {0}
SMS Settings,Configurações de SMS
SMS Parameter,Parâmetro de SMS
SMS Gateway URL,URL de Gateway para SMS
SMS,SMS
S3 Backup complete!,S3 Backup completo!
S3 Backup Settings,Configurações de Backup S3
Run scheduled jobs only if checked,As tarefas agendadas somente serão executadas se a opção estiver marcada
Run,Corre
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Regras de como os status são alterados, como o próximo status e que função terá permissão para mudar de status, etc"
Rules defining transition of state in the workflow.,Regras que definem a transição de status no fluxo de trabalho.
Rule Name,Nome da regra
Rule,Regra
Rows Removed,Linhas Excluídas
Rows Added,Linhas Adicionadas
Row {0}: Not allowed to enable Allow on Submit for standard fields,Linha {0}: Não é permitido habilitar Permitir ao Enviar para campos padrão
Row {0}: Not allowed to disable Mandatory for standard fields,Linha {0}: Não é permitido desativar Obrigatório para campos padrão
Row Values Changed,Valores das Linhas Mudaram
Row Status,Status da fila
Row No,Linha No
Row Index,Índice de linhas
Row #{0}:,Linha # {0}:
Row,Linha
Route to Success Link,Rota para o Link de Sucesso
Route Redirects,Redirecionamentos de rota
Route History,História da rota
Round Robin,Robin Redondo
Root {0} cannot be deleted,Root {0} não pode ser excluído
Roles can be set for users from their User page.,As funções podem ser definidas para os usuários através de sua página de Usuário.
Roles Assigned,Funções Atribuídas
Roles,Funções
Role and Level,Função e Nível
Role Profile,Perfil de Função
Role Permissions,Permissões da Função
Role Permission for Page and Report,Permissão de Função para Página e Relatório
Role Name,Nome da Função
Robots.txt,Robots.txt
Rich Text,Rich Text
Revoked,Revogado
Revoke,Revogar
Reviews,Rever
Review Points,Pontos de revisão
Review Levels,Revisar Níveis
Review Level,Nível de revisão
Reverted,Revertido
Revert Of,Reverter
Revert,Reverter
Reverse Icon Color,Inverta Ícone Cor
Return to the Verification screen and enter the code displayed by your authentication app,Retorne à tela de Verificação e insira o código exibido pelo seu aplicativo de autenticação
Retry,Repetir
Retake,Retomar
Resume Sending,Retomar Envio
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Restringir usuário a partir deste endereço IP. Vários endereços IP podem ser adicionados ao separar com vírgulas. São aceitos também endereços IP parciais como (111.111.111)
Restrict user for specific document,Restringir usuário para documento específico
Restrict To Domain,Restringir ao domínio
Restrict IP,Restringir IP
Restored,Restaurado
Restore to default settings?,Restaurar as configurações padrão?
Restore or permanently delete a document.,Restaure ou exclua permanentemente um documento.
Restore Original Permissions,Restaurar permissões originais
Restore,Restaurar
You created this,Você criou isso
Response Type,Tipo de resposta
Reset your password,Redefinir sua senha
Reset to defaults,Restaurar Padrões
Reset Permissions for {0}?,Repor permissões para {0} ?
Reset Password Key,Redefinição de senha chave
Reset Password,Redefinir Senha
Reset OTP Secret,Redefinir OTP Secret
Res: {0},Res: {0}
Require Trusted Certificate,Exigir certificado confiável
Request URL,URL do pedido
Request Timed Out,Solicitação expirada
Represents the states allowed in one document and role assigned to change the state.,Representa os estados permitidos em um documento e função atribuído para alterar o estado.
Represents a User in the system.,Representa um usuário no sistema.
Report:,Relatório:
Report {0} is disabled,Relatório {0} está desativado
Report {0},Relatório {0}
Report was not saved (there were errors),O Relatório não foi salvo (houve erros)
Report updated successfully,Relatório atualizado com sucesso
Report of all document shares,Relatório de todas as ações de documentos
Report cannot be set for Single types,Relatório não pode ser ajustada para os modelos únicos
Report Start Time,Hora de início do relatório
Report Name,Nome do Relatório
Report Manager,Gestor de Relatórios
Report Hide,Ocultar Relatório
Report Filters,Filtros de relatório
Report End Time,Hora de término do relatório
Reply All,Responder a todos
Reply,Responder
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""","Repetições como ""abcabcabc"" são somente um pouco mais difícil de adivinhar que ""abc"""
"Repeats like ""aaa"" are easy to guess","Repetições como ""aaa"" são fáceis de adivinhar"
Repeat this Event,Repita este evento
Repeat on Day,Repetir no dia
Repeat Till,Repita até que
Repeat On,Repetir em
Repeat Header and Footer in PDF,Repetir cabeçalho e rodapé no PDF
Rename {0},Mudar o nome {0}
Rename many items by uploading a .csv file.,Renomeie muitos itens fazendo o upload de um arquivo csv.
Removed {0},Removido {0}
Remove all customizations?,Remover todas as personalizações?
Remove Tag,Remova Tag
Remove Section,Remover Seção
Remove Filter,Remover Filtro
Remove Field,Remover Campo
Remove,Remover
Remote Primary Key,Chave primária remota
Remote Objectname,Remote Objectname
Remote ID,ID Remoto
Remote Fieldname,Remote Fieldname
Remote,Remoto
Remember Last Selected Value,Lembrar última seleção
Reload,Recarregar
Relinked,Religado
Relink Communication,Religar Comunicação
Relink,Religar
Relapses,Recaídas
Relapsed,Reincidente
Registered but disabled,Registrado mas desativado
Register OAuth Client App,Registrar App OAuth Cliente
Refreshing...,Atualizando...
Reference: {0} {1},Referência: {0} {1}
Reference Report,Relatório de referência
Reference DocType and Reference Name are required,Referência DocType e nome de referência são necessários
Reference DocName,Nome do Documento de Referência
Ref Report DocType,Ref Report DocType
Ref DocType,DocType de Ref.
Redis cache server not running. Please contact Administrator / Tech support,Servidor de cache Redis não está funcionando. Entre em contato com o Administrador de apoio / Tecnologia
Redirect URIs,redirecionar URIs
Redirect URI Bound To Auth Code,URI de redirecionamento Bound To Código Auth
Redirect To,redirecionar para
Records for following doctypes will be filtered,Registros para seguir doctypes serão filtrados
Record does not exist,Registro não existe
Recipient Unsubscribed,Destinatário com inscrição cancelada
Recipient,Destinatário
Recent years are easy to guess.,Os anos recentes são fáceis de adivinhar.
Receiver Parameter,Parâmetro do recebedor
Rebuild,Reconstruir
Read by Recipient On,Lido por destinatário ativado
Read by Recipient,Lido por destinatário
Read Only,Somente Leitura
Read,Ler
Re: {0},Re: {0}
Re:,Re:
Razorpay Settings,Configurações Razorpay
Razorpay Payment gateway settings,configurações de gateway de pagamento Razorpay
Raw Printing,Impressão Raw
Raw Email,Email Puro
Raw Commands,Comandos brutos
Rating:,Rating:
Quick Help for Setting Permissions,Ajuda rápida para Configurar Permissões
Queued for backup. You will receive an email with the download link,Em fila para backup. Você receberá um e-mail com o link de download
Queued for backup. It may take a few minutes to an hour.,Na fila para backup em até uma hora.
Queue should be one of {0},A fila deve ser uma de {0}
Query must be a SELECT,Consulta deve ser um SELECT
Query Report,Relatório da Consulta
Query,Consulta
Quarter Day,1/4 do Dia
QZ Tray Failed:,QZ Tray Failed:
QZ Tray Connection Active!,Conexão da Bandeja QZ Ativo!
QR Code for Login Verification,Código QR para verificação de login
QR Code,QR Code
Pyver,Pyver
Python Module,Módulo Python
Push Update,Atualização de envio
Push Insert,Push Insert
Push Failed,Push Failed
Push Delete,Pressione Excluir
Push,Empurrar
Pull Update,Puxe a Atualização
Pull Insert,Inserir puxar
Pull Failed,Puxar falhou
Pull,Puxar
Published On,Publicado no
Publishable Key,Chave publicável
Public Key,Chave pública
Provider Name,Nome do provedor
Provider,Fornecedor
Property Type,Tipo de propriedade
Property Setter overrides a standard DocType or Field property,O configurador de propriedades substitui o DocType padrão ou propriedade de campo
Property Setter,Configurador de Propriedades
Progress,Progresso
Prof,Prof
Processing...,Em processamento...
Processing,Em processamento
ProTip: Add Reference: {{ reference_doctype }} {{ reference_name }} to send document reference,Protip: Adicionar <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> para enviar referência do documento
Private and public Notes.,Privadas e públicas Notas.
Private Key,Chave privada
Printing failed,Impressão falhou
Printer Settings,Configurações da Impressora
Printer Name,Nome da impressora
Printer Mapping,Mapeamento de Impressora
Printer,Impressora
Print with letterhead,Imprimir com o timbre
"Print Width of the field, if the field is a column in a table","Largura de impressão do campo, se o campo é uma coluna na tabela"
Print Width,Largura de impressão
Print Style Preview,Estilo de visualização de impressão
Print Style Name,Nome do estilo de impressão
Print Style,Estilo de Impressão
Print Server,Servidor de impressão
Print Sent to the printer!,Imprimir Enviado para a impressora!
Print Hide If No Value,Ocultar Impressão se não Preenchido
